AGELVLT,AGELVLTMagnitude
55-59,30359
60-64,28247
30-34,26878
25-29,24507
50-54,24493
35-39,21648
65 or more,21557
45-49,21059
40-44,19462
20-24,15279
Less than 20,2541
Unspecified,99
