cdi,alert,mmi,gap,magType,detail,updated,tz,time,felt,sources,code,rms,type,mag,types,net,nst,tsunami,url,ids,sig,dmin,status,title,place
,,,,ml,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak16215579.geojson,1498199523309,-540,1498199263446,,",ak,",16215579,0.78,earthquake,1.1,",geoserve,origin,",ak,,0,https://earthquake.usgs.gov/earthquakes/eventpage/ak16215579,",ak16215579,",19,,automatic,"M 1.1 - 109km NW of Talkeetna, Alaska","109km NW of Talkeetna, Alaska"
,,,,ml,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak16215577.geojson,1498199392371,-540,1498199033833,,",ak,",16215577,0.7,earthquake,1.2,",geoserve,origin,",ak,,0,https://earthquake.usgs.gov/earthquakes/eventpage/ak16215577,",ak16215577,",22,,automatic,"M 1.2 - 99km S of Coldfoot, Alaska","99km S of Coldfoot, Alaska"
,,,118,ml,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ci37916288.geojson,1498197465306,-480,1498197241010,,",ci,",37916288,0.09,earthquake,0.48,",geoserve,nearby-cities,origin,phase-data,scitech-link,",ci,15,0,https://earthquake.usgs.gov/earthquakes/eventpage/ci37916288,",ci37916288,",4,0.084,automatic,"M 0.5 - 9km NE of Aguanga, CA","9km NE of Aguanga, CA"
,,,,ml,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak16215358.geojson,1498198256817,-540,1498197230095,,",ak,",16215358,0.67,earthquake,1.8,",geoserve,origin,",ak,,0,https://earthquake.usgs.gov/earthquakes/eventpage/ak16215358,",ak16215358,",50,,automatic,"M 1.8 - 39km NNE of Yakutat, Alaska","39km NNE of Yakutat, Alaska"
,,,,ml,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak16215579.geojson,1498199523309,-540,1498199263446,,",ak,",16215579,0.78,earthquake,1.1,",geoserve,origin,",ak,,0,https://earthquake.usgs.gov/earthquakes/eventpage/ak16215579,",ak16215579,",19,,automatic,"M 1.1 - 109km NW of Talkeetna, Alaska","109km NW of Talkeetna, Alaska"
,,,,ml,https://earthquake.usgs.gov/earthquakes/feed/v1.0/detail/ak16215577.geojson,1498199392371,-540,1498199033833,,",ak,",16215577,0.7,earthquake,1.2,",geoserve,origin,",ak,,0,https://earthquake.usgs.gov/earthquakes/eventpage/ak16215577,",ak16215577,",22,,automatic,"M 1.2 - 99km S of Coldfoot, Alaska","99km S of Coldfoot, Alaska"
